Prenom;Nom;Email;Rôle;Mentor email;Adresse;Code postal;Ville;Pays;Telephone fixe;Telephone mobile;Fonction;Service;Qualification
Fathallah;AFFANI;affani@lycom.ma;COLLABORATEUR;mustapha@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Larbi;DAHBANI;dahbani@lycom.ma;COLLABORATEUR;mustapha@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Abdelhaq;AMAHROUCH;amahrouch@lycom.ma;COLLABORATEUR;mustapha@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Sliman;SMOUH;smouh@lycom.ma;COLLABORATEUR;makkaoui@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Redouan;YESSOUF;yessouf@lycom.ma;COLLABORATEUR;makkaoui@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Ahmed ;TABARANI;tabarani@lycom.ma;COLLABORATEUR;makkaoui@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Abdellah;RHABRAOUI;rhabraoui@lycom.ma;COLLABORATEUR;makkaoui@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Omar;ANKILA;ankila@lycom.ma;COLLABORATEUR;lakhlifi@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Khadija;KASTAL;kastal@lycom.ma;COLLABORATEUR;lakhlifi@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Samir;CHAOUKI;chaouki@lycom.ma;COLLABORATEUR;elatrach@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Omar;BENABDELKADER;benabdelkader@lycom.ma;COLLABORATEUR;safae@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Omar;KHABJANE;khabjan@lycom.ma;COLLABORATEUR;safae@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Lafdali;KHOUY;lafdali@lycom.ma;COLLABORATEUR;safae@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
El Hassan;BOUNA;elhassan@lycom.ma;COLLABORATEUR;elyacoubi@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
Said;EL MANNI;said@lycom.ma;COLLABORATEUR;elyacoubi@lycom.ma;10, rue de rabat;75001;Rabat;Maroc;05 05 60 60 60;06 07 08 09 02;Employe libre service;Energies renouvelables;Employe
